Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
28 Aug 2024,2329,2345,2291,337107,301,"7,789,123",-0.17%,0,0,0
27 Aug 2024,2333,2343,2290,400299,333,"9,309,993",1.21%,4.0733,6.1583,16.2381
26 Aug 2024,2305,2320,2283,367487,337,"8,455,772",1.23%,4.1228,6.2331,16.0432
23 Aug 2024,2277,2285,2250,1614716,931,"36,501,913",1.34%,4.1735,6.3097,15.8484
22 Aug 2024,2247,2280,2235,1034054,821,"23,359,812",1.67%,4.2292,6.394,15.6396
21 Aug 2024,2210,2226,2206,1274283,1082,"28,198,664",0.00%,0,0,0
20 Aug 2024,2210,2226,2204,495315,473,"10,959,121",-0.90%,4.3001,6.501,15.382
19 Aug 2024,2230,2244,2215,1722973,548,"38,266,808",0.09%,4.2615,6.4427,15.5212
16 Aug 2024,2228,2247,2222,591105,378,"13,181,747",-0.09%,4.2653,6.4485,15.5073
15 Aug 2024,2230,2242,2207,286266,279,"6,394,766",0.27%,4.2615,6.4427,15.5212
14 Aug 2024,2224,2245,2222,387608,321,"8,655,410",-0.04%,4.273,6.4601,15.4795
13 Aug 2024,2225,2233,2200,1482429,268,"32,996,643",0.23%,4.2711,6.4572,15.4864
12 Aug 2024,2220,2232,2150,462411,454,"10,253,178",0.50%,4.2807,6.4717,15.4516
08 Aug 2024,2209,2214,2150,450082,272,"9,906,882",0.87%,4.302,6.504,15.3751
07 Aug 2024,2190,2190,2175,1657761,2596,"36,299,369",0.60%,4.3393,6.5604,15.2428
06 Aug 2024,2177,2213,2155,436096,475,"9,477,399",-1.40%,4.3652,6.5996,15.1523
05 Aug 2024,2208,2240,2175,1109034,898,"24,424,921",0.09%,4.3039,6.5069,15.3681
02 Aug 2024,2206,2232,2184,655897,467,"14,473,304",-0.72%,4.3078,6.5128,15.3542
01 Aug 2024,2222,2240,2188,553333,474,"12,312,994",0.27%,4.2768,6.4659,15.4655
31 Jul 2024,2216,2240,2207,160674,223,"3,565,855",-1.07%,4.2884,6.4834,15.4238
30 Jul 2024,2240,2255,2202,426141,542,"9,510,145",-0.13%,4.2425,6.414,15.5908
29 Jul 2024,2243,2257,2221,1273466,899,"28,610,333",0.81%,4.2368,6.4054,15.6117
26 Jul 2024,2225,2226,2200,289778,274,"6,414,148",0.36%,4.2711,6.4572,15.4864
25 Jul 2024,2217,2231,2203,345600,439,"7,660,580",0.00%,0,0,0
24 Jul 2024,2217,2239,2209,396316,353,"8,789,322",-1.03%,4.2865,6.4805,15.4307
23 Jul 2024,2240,2254,2223,340618,356,"7,630,690",0.76%,4.2425,6.414,15.5908
22 Jul 2024,2223,2273,2219,527624,498,"11,755,130",0.14%,4.2749,6.463,15.4725
19 Jul 2024,2220,2250,2218,588602,278,"13,086,316",-1.33%,4.2807,6.4717,15.4516
18 Jul 2024,2250,2280,2245,1260100,623,"28,373,789",-1.01%,4.2236,6.3854,15.6604
17 Jul 2024,2273,2319,2273,659514,451,"15,118,639",-0.92%,4.1809,6.3208,15.8205
16 Jul 2024,2294,2300,2270,1484139,1185,"33,922,810",0.61%,4.1426,6.263,15.9667
15 Jul 2024,2280,2290,2241,1371103,1270,"31,266,300",1.79%,4.168,6.3014,15.8692
12 Jul 2024,2240,2263,2235,181644,196,"4,081,116",-1.02%,4.2425,6.414,15.5908
